"Company";"TypeName";"Inches";"Resolution_Width";"Resolution_Height";"Touchscreen_or_Not";"CPU_Brand";"CPU_Name";"CPU_Speed(in GHz)";"Ram";"Memory_Type";"Primary_Memory";"Secondary_Memory";"Gpu_Brand";"Weight";"Price";"OpSys_Standardized"
"Dell";"Workstation";15.6;3840;2160;0;"Intel";"Xeon E3-1505M";3.0;16;"Hybrid";256;1024;"Nvidia";2.8;162770;"Windows"
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"SSD";512;0;"Nvidia";2.4;74485;"N/A"
"Dell";"Notebook";15.6;1366;768;1;"Intel";"Core i3";2.4;6;"HDD";1024;0;"Intel";2.3;23390;"Windows"
"Dell";"Ultrabook";13.3;3840;2160;1;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";1.21;103843;"Windows"
"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";0.0;77203;"Windows"
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";2.4;41505;"Linux"
"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";2.9;74965;"Windows"
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"Intel";2.1;18595;"N/A"
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";2.2;29251;"N/A"
"Huawei";"Ultrabook";13.0;2160;1440;0;"Intel";"Core i7";2.7;8;"SSD";512;0;"Intel";1.05;79867;"Windows"
"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"AMD";1.4;49651;"Windows"
"Lenovo";"Notebook";17.3;1600;900;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"Nvidia";2.8;31382;"N/A"
"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";1.63;54932;"Windows"
"Dell";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";1.6;61219;"Windows"
"Dell";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i7";1.8;16;"SSD";512;0;"Intel";1.62;68145;"Windows"
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"AMD";2.2;36089;"Linux"
"Lenovo";"2 in 1 Convertible";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";1.74;47899;"Windows"
"Toshiba";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";2.5;8;"SSD";256;0;"Intel";1.2;72621;"Windows"
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"Intel";2.1;42304;"Windows"
"Dell";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";4.42;130874;"Windows"
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Nvidia";2.2;44329;"Windows"
"Dell";"Notebook";15.6;1920;1080;1;"Intel";"Core i7";2.7;16;"HDD";1024;0;"AMD";2.3;45768;"Windows"
"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";2.0;40972;"Windows"
"Asus";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";2.5;8;"Hybrid";256;500;"Nvidia";2.69;47472;"Windows"
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"HDD";1024;0;"AMD";1.9;67612;"Windows"
"Asus";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.4;4;"HDD";1024;0;"Intel";2.37;21258;"Windows"
"HP";"Notebook";15.6;1366;768;0;"AMD";"E-Series 9000e";1.5;4;"HDD";500;0;"AMD";2.1;17582;"Windows"
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";3.2;79867;"Windows"
"Dell";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";1.6;45768;"Windows"
"Acer";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";2.3;8;"SSD";256;0;"Intel";1.6;36710;"Windows"
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;16;"SSD";256;0;"AMD";2.36;47899;"Linux"
"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";2.1;20779;"Linux"
"Asus";"Notebook";15.6;1920;1080;0;"AMD";"A10-Series A10-9620P";2.5;4;"Hybrid";128;1024;"AMD";2.2;30636;"Windows"
"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.9;32;"Hybrid";512;1024;"Nvidia";4.7;207259;"Windows"
"Acer";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";2.5;45075;"Windows"
"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;8;"SSD";128;0;"Intel";7.2;31382;"Windows"
"Asus";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;8;"Hybrid";128;1024;"Nvidia";2.1;61006;"Windows"
"Asus";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";2.7;8;"Hybrid";128;1024;"Nvidia";2.69;47366;"N/A"
"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";2.56;46833;"Windows"
"Lenovo";"2 in 1 Convertible";13.9;1920;1080;1;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";1.38;57489;"Windows"
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"Hybrid";128;2048;"AMD";2.2;52481;"Windows"
"HP";"Notebook";15.6;1366;768;1;"Intel";"Core i5";2.5;8;"HDD";1024;0;"Intel";2.04;29784;"Windows"
"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.9;16;"SSD";256;0;"Nvidia";3.6;159787;"Windows"
"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i5";1.6;4;"HDD";500;0;"Intel";1.49;35964;"Windows"
"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";3.1;8;"SSD";512;0;"Intel";1.37;108691;"macOS"
"Dell";"2 in 1 Convertible";15.6;1920;1080;1;"Intel";"Core i7";1.8;8;"HDD";1024;0;"Intel";2.08;43636;"Windows"
"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";4.3;95851;"Windows"
"Asus";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"HDD";1024;0;"AMD";1.68;24988;"Windows"
"Lenovo";"2 in 1 Convertible";13.9;1920;1080;1;"Intel";"Core i7";1.8;8;"SSD";512;0;"Intel";1.37;98515;"Windows"
"Acer";"Notebook";17.3;1920;1080;0;"Intel";"Core i3";2.7;4;"SSD";256;0;"Nvidia";3.0;37403;"Windows"
"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";1.41;50563;"Windows"
"HP";"Notebook";15.6;1366;768;0;"AMD";"A6-Series A6-9220";2.5;8;"SSD";128;0;"AMD";1.91;23758;"Windows"
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;16;"HDD";1024;0;"Nvidia";2.9;56424;"Windows"
"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";512;1024;"Nvidia";4.14;133147;"Windows"
"Lenovo";"2 in 1 Convertible";15.6;1920;1080;1;"Intel";"Core i7";2.8;8;"SSD";512;0;"Nvidia";2.0;90523;"Windows"
"Dell";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;8;"Hybrid";128;1024;"AMD";2.8;60846;"Windows"
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"SSD";256;0;"Intel";2.2;23656;"N/A"
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;4;"HDD";500;0;"Intel";2.1;38468;"Windows"
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;"Intel";2.18;35005;"Windows"
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"AMD";2.24;30103;"Windows"
"Dell";"2 in 1 Convertible";15.6;1920;1080;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";2.67;42571;"Windows"
"Asus";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i7";1.8;8;"SSD";512;512;"Intel";4.1;79867;"Windows"
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;8;"HDD";1024;0;"Nvidia";2.5;54239;"Windows"
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";2.05;46886;"Windows"
"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";2.9;8;"SSD";512;0;"Intel";1.37;104370;"macOS"
"Asus";"Gaming";17.3;1920;1080;0;"AMD";"Ryzen 1700";3.0;16;"Hybrid";256;1024;"AMD";3.2;82531;"Windows"
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"AMD";2.14;39165;"Linux"
"Lenovo";"2 in 1 Convertible";14.0;2560;1440;1;"Intel";"Core i7";2.6;16;"SSD";512;0;"Intel";1.36;133147;"Windows"
"Toshiba";"Notebook";15.6;1366;768;0;"Intel";"Core i7";2.5;8;"HDD";500;0;"Nvidia";2.2;43263;"Windows"
"Dell";"Notebook";15.6;1366;768;0;"Intel";"Core i7";2.7;12;"HDD";1024;0;"Intel";2.3;37992;"Windows"
"Dell";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;8;"Hybrid";128;1024;"AMD";2.8;58555;"Linux"
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"HDD";1024;0;"Nvidia";2.2;39694;"Windows"
"Lenovo";"Notebook";17.3;1600;900;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";2.8;26054;"Windows"
"Lenovo";"Notebook";17.3;1920;1080;0;"Intel";"Core i7";1.8;8;"HDD";2048;0;"Nvidia";2.8;45235;"N/A"
"Lenovo";"Notebook";17.3;1600;900;0;"Intel";"Core i7";2.7;6;"Hybrid";128;1024;"Nvidia";2.8;45768;"Windows"
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"AMD";2.25;22804;"Linux"
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";2.5;44169;"Windows"
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;6;"SSD";256;0;"Intel";2.2;30849;"Windows"
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";3.0;50669;"Windows"
"Acer";"Notebook";15.6;1920;1080;1;"Intel";"Core i7";2.7;12;"HDD";1024;0;"Intel";2.15;35112;"Windows"
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";1.95;58448;"Windows"
"Asus";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";1.7;52055;"Windows"
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";2.5;62817;"Windows"
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"HDD";1024;0;"Nvidia";2.2;35112;"N/A"
"Acer";"Notebook";15.6;1366;768;0;"Intel";"Celeron Dual";1.5;2;"SSD";16;0;"Intel";2.19;10603;"Others"
"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";3.0;63243;"Windows"
"HP";"Notebook";17.3;1600;900;0;"Intel";"Core i3";2.0;8;"HDD";1024;0;"Intel";2.54;26054;"Windows"
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"SSD";256;0;"Nvidia";2.0;97449;"Windows"
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";2.05;39374;"Windows"
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";3.2;69211;"Windows"
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"SSD";256;0;"Nvidia";2.5;52161;"Linux"
"Dell";"Workstation";17.3;1920;1080;0;"Intel";"Core i7";2.9;16;"SSD";256;0;"Nvidia";3.42;153705;"Windows"
"Lenovo";"Notebook";15.6;1920;1080;0;"AMD";"A10-Series 9600P";2.4;6;"HDD";1024;0;"AMD";2.4;26587;"Windows"
"Asus";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";2.7;16;"SSD";512;0;"Nvidia";1.63;78215;"Windows"
"Asus";"Notebook";14.0;1366;768;0;"Intel";"Core i3";2.4;4;"SSD";128;0;"Intel";1.3;27120;"Windows"
"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";2.9;113060;"Windows"
"Lenovo";"Notebook";17.3;1600;900;0;"Intel";"Core i5";2.5;6;"HDD";1024;0;"Nvidia";5.8;34579;"Windows"
"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;8;"HDD";2048;0;"Nvidia";2.2;29251;"N/A"
"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"Hybrid";128;1024;"Nvidia";2.5;67399;"Windows"
"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Pentium Quad";1.1;4;"HDD";1024;0;"Intel";2.2;19180;"N/A"
"HP";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i7";2.8;16;"SSD";256;0;"Intel";1.28;105228;"Windows"
"Toshiba";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.5;8;"SSD";256;0;"Nvidia";2.2;55571;"Windows"
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";2.3;43636;"Windows"
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";1.86;24988;"Windows"
"Lenovo";"Notebook";13.3;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";1.1;53227;"Windows"
"Dell";"Ultrabook";13.3;3840;2160;1;"Intel";"Core i7";1.8;16;"SSD";1024;0;"Intel";1.21;133147;"Windows"
"MSI";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";2.8;111835;"Windows"
"Acer";"Notebook";15.6;1920;1080;0;"AMD";"A8-Series 7410";2.2;8;"SSD";256;0;"AMD";2.23;24988;"Windows"
"Asus";"2 in 1 Convertible";11.6;1366;768;1;"Intel";"Celeron Dual";1.1;2;"Flash Storage";32;0;"Intel";1.1;14652;"Windows"
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"Hybrid";128;1024;"AMD";2.33;44968;"Windows"
"HP";"2 in 1 Convertible";13.3;3840;2160;1;"Intel";"Core i7";1.8;16;"SSD";1024;0;"Intel";1.29;130483;"Windows"
"Lenovo";"Notebook";13.3;1366;768;0;"Intel";"Celeron Dual";1.6;4;"Flash Storage";16;0;"Intel";1.45;24503;"Others"
"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";1.95;52214;"Windows"
"Acer";"Notebook";11.6;1366;768;0;"Intel";"Pentium Quad";1.6;4;"Flash Storage";128;0;"Intel";1.4;25841;"Windows"
"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";1.48;68838;"Windows"
"Lenovo";"Notebook";17.3;1600;900;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;"Nvidia";2.79;31382;"Windows"
"Asus";"Notebook";14.0;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";2.0;58288;"Windows"
"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i7";1.8;8;"HDD";1024;0;"Intel";2.1;48059;"Windows"
"Acer";"Notebook";15.6;1366;768;0;"AMD";"A12-Series 9720P";2.7;8;"SSD";256;0;"AMD";2.2;35112;"Windows"
"Lenovo";"Notebook";14.0;1366;768;0;"Intel";"Celeron Dual";1.1;4;"Flash Storage";32;0;"Intel";1.44;15558;"Windows"
"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;6;"HDD";1024;0;"Intel";8.23;29251;"Windows"
"Asus";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Nvidia";1.7;55939;"Windows"
"HP";"Ultrabook";12.5;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";1.26;71129;"Windows"
"Dell";"Notebook";15.6;3840;2160;1;"Intel";"Core i7";2.8;32;"SSD";1024;0;"Nvidia";2.06;140606;"Windows"
"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;8;"Hybrid";256;1024;"Nvidia";2.7;63883;"Windows"
"Toshiba";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";2.0;50243;"Windows"
"Asus";"Notebook";14.0;1920;1080;0;"Intel";"Core i7";2.7;8;"Hybrid";256;1024;"Intel";2.0;71076;"Windows"
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";1.85;23923;"Windows"
"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"SSD";256;0;"Nvidia";2.5;53227;"Windows"
"HP";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";2.6;8;"SSD";256;0;"Intel";1.48;67559;"Windows"
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";1.84;60952;"Windows"
"Asus";"Notebook";15.6;1366;768;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";2.0;14651;"Linux"
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Nvidia";2.0;60886;"Windows"
"Dell";"Notebook";15.6;1366;768;0;"Intel";"Celeron Dual";1.6;4;"HDD";500;0;"Intel";2.2;14647;"Linux"
"Lenovo";"Notebook";15.6;1920;1080;0;"AMD";"A12-Series 9720P";3.6;12;"HDD";2048;0;"AMD";2.2;47899;"Windows"
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.4;8;"HDD";1024;0;"Nvidia";2.1;38148;"Windows"
"Lenovo";"2 in 1 Convertible";13.9;3840;2160;1;"Intel";"Core i7";1.8;16;"SSD";512;0;"Intel";1.4;111835;"Windows"
"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";1.2;84129;"Windows"
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;2048;"Nvidia";2.4;60153;"Windows"
"HP";"Notebook";14.0;1366;768;0;"Intel";"Celeron Dual";1.6;2;"Flash Storage";32;0;"Intel";1.44;14865;"Windows"
"Dell";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";1.9;16;"SSD";512;256;"Intel";1.88;85672;"Windows"
"Asus";"2 in 1 Convertible";11.6;1366;768;1;"Intel";"Celeron Dual";1.1;4;"Flash Storage";32;0;"Intel";1.5;19980;"Windows"
"Dell";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"AMD";0.0;35325;"Windows"
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";1.84;69477;"Windows"
"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;8;"Hybrid";128;1024;"Nvidia";2.7;75072;"Windows"
"HP";"Workstation";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"SSD";256;0;"Nvidia";2.6;92615;"Windows"
"Toshiba";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.5;16;"SSD";512;0;"Nvidia";2.4;74752;"Windows"
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"Hybrid";128;2048;"AMD";2.02;51730;"Windows"
"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";2.2;17156;"N/A"
"Dell";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"Nvidia";2.65;53227;"Windows"
"Dell";"Notebook";15.6;1366;768;1;"Intel";"Core i5";2.5;8;"HDD";2048;0;"Intel";2.36;29697;"Windows"
"Dell";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";2.6;8;"SSD";256;0;"Intel";1.36;76031;"Windows"
"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"Intel";1.86;23390;"Windows"
"Asus";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";2.0;50350;"Windows"
"Lenovo";"Notebook";17.3;1600;900;0;"Intel";"Core i5";2.5;6;"Hybrid";128;1024;"Nvidia";2.8;38308;"Windows"
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"Intel";1.86;34046;"Windows"
"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;8;"SSD";256;0;"Nvidia";2.2;26587;"N/A"
"HP";"Notebook";15.6;1366;768;0;"Intel";"Pentium Quad";1.6;8;"HDD";2048;0;"Intel";2.04;20726;"Windows"
"Dell";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"Hybrid";128;1024;"AMD";2.8;57809;"Windows"
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";2.4;43104;"N/A"
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"AMD";2.33;47899;"Windows"
"HP";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";1.36;93240;"Windows"
"Asus";"2 in 1 Convertible";15.6;1920;1080;1;"Intel";"Core i7";2.7;12;"Hybrid";512;2048;"Nvidia";2.26;58555;"Windows"
"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"SSD";128;0;"AMD";2.1;22697;"Windows"
"Asus";"Gaming";17.3;1920;1080;0;"AMD";"Ryzen 1700";3.0;16;"Hybrid";256;1024;"AMD";3.25;117163;"Windows"
"Lenovo";"Notebook";17.3;1600;900;0;"AMD";"A8-Series 7410";2.2;4;"SSD";128;0;"AMD";2.6;26054;"Windows"
"Dell";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";1.62;46301;"Windows"
"HP";"Notebook";15.6;1920;1080;0;"AMD";"A9-Series 9420";3.0;4;"SSD";256;0;"AMD";1.91;26053;"Windows"
"Lenovo";"Netbook";11.6;1366;768;0;"Intel";"Celeron Quad";1.1;4;"SSD";128;0;"Intel";1.59;29464;"Windows"
"Dell";"Notebook";15.6;1366;768;0;"Intel";"Celeron Dual";1.6;4;"HDD";500;0;"Intel";1.8;16464;"Windows"
"Asus";"Notebook";14.0;1366;768;0;"Intel";"Celeron Dual";1.1;4;"Flash Storage";32;0;"Intel";1.5;15238;"Windows"
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";2.4;45075;"Linux"
"HP";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;8;"Hybrid";128;1024;"Nvidia";3.35;63456;"Windows"
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"SSD";128;0;"Intel";1.85;21498;"N/A"
"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"Hybrid";128;1024;"Nvidia";2.3;88178;"Windows"
"Lenovo";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";1.5;58555;"Windows"
"Asus";"Ultrabook";13.3;1920;1080;1;"Intel";"Core i7";2.7;16;"SSD";512;0;"Intel";1.1;93181;"Windows"
"Lenovo";"Ultrabook";14.0;2560;1440;0;"Intel";"Core i7";2.7;8;"SSD";512;0;"Intel";1.13;121585;"Windows"
"Lenovo";"Notebook";13.3;1920;1080;0;"Intel";"Core i3";2.4;4;"SSD";128;0;"Intel";1.5;29251;"Windows"
"Dell";"Workstation";15.6;1920;1080;0;"Intel";"Core i5";2.6;8;"HDD";500;0;"AMD";2.23;72940;"Windows"
"Dell";"Workstation";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Nvidia";2.0;113753;"Windows"
"Lenovo";"2 in 1 Convertible";14.0;2560;1440;1;"Intel";"Core i7";2.7;16;"SSD";512;0;"Intel";1.42;133680;"Windows"
"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";3.0;55358;"Windows"
"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";3.0;84768;"Windows"
"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i5";1.6;12;"HDD";1024;0;"Nvidia";2.2;36976;"Windows"
"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;8;"SSD";256;0;"Nvidia";2.7;71875;"Windows"
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"AMD";2.33;41498;"Linux"
"HP";"Ultrabook";15.6;1920;1080;0;"AMD";"A9-Series 9420";3.0;4;"SSD";256;0;"AMD";1.91;26587;"Windows"
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"AMD";2.1;65511;"Windows"
"Lenovo";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";1.9;49977;"Windows"
"Dell";"Workstation";15.6;3840;2160;1;"Intel";"Core i7";2.8;8;"SSD";256;0;"Nvidia";1.78;144495;"Windows"
"Lenovo";"Ultrabook";14.0;2560;1440;0;"Intel";"Core i7";2.7;16;"SSD";1024;0;"Intel";1.13;139860;"Windows"
"Lenovo";"Notebook";15.6;1366;768;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";2.2;16304;"Windows"
"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";2.9;81465;"Windows"
"Lenovo";"Notebook";25.6;1920;1080;0;"Intel";"Core i5";1.6;8;"Hybrid";256;1024;"AMD";2.1;60979;"Windows"
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"SSD";256;0;"Nvidia";2.5;46833;"Linux"
"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";2.8;119827;"Windows"
